study	age	treatment	testing	timing	gain_scores	control_group	peer_reviewed	Hedges_g	variance_g
van Zeeland & Schmitt (2013)	university	audio	recognition	immediately	no	no	yes	3.385162739	0.362318697
van Zeeland & Schmitt (2013)	university	audio	recognition	immediately	no	no	yes	3.089469943	0.310139816
van Zeeland & Schmitt (2013)	university	audio	recall	immediately	no	no	yes	1.198738304	0.089164054
van Zeeland & Schmitt (2013)	university	audio	recognition	delayed	no	no	yes	1.550145629	0.247272727
van Zeeland & Schmitt (2013)	university	audio	recognition	delayed	no	no	yes	2.240535458	0.407667039
van Zeeland & Schmitt (2013)	university	audio	recall	delayed	no	no	yes	0.928400907	0.152826087
Vidal (2011)	university	audio	recall	immediately	yes	yes	yes	2.014906589	0.064145449
Vidal (2011)	university	audio	recall	delayed	yes	yes	yes	1.43748278	0.052477664
Winke et al. (2010)	university	audiovisual	recall	immediately	no	no	yes	1.739130435	0.283553875
Winke et al. (2010)	university	audiovisual	recall	immediately	no	no	yes	0.869565217	0.141776938
Yeung et al. (2016)	elementary school / kindergarten	audio	recall	immediately	yes	no	yes	2.880227596	0.040756255
Yeung et al. (2016)	elementary school / kindergarten	audio	recognition	immediately	yes	no	yes	0.374220374	0.008133575
Yuksel & Tanriverdi (2009)	university	audiovisual	recall	immediately	yes	no	yes	2.293509643	0.016939109
